"Date","Price","Open","High","Low","Vol.","Change %"
"26-02-2024","2,038.90","2,044.20","2,046.80","2,034.10","129.02K","-0.51%"
"23-02-2024","2,049.40","2,034.10","2,053.20","2,025.40","212.03K","0.92%"
"22-02-2024","2,030.70","2,036.50","2,045.50","2,029.30","147.95K","-0.18%"
"21-02-2024","2,034.30","2,036.20","2,043.50","2,030.90","120.60K","-0.27%"
"20-02-2024","2,039.80","2,027.70","2,042.70","2,023.90","202.43K","0.00%"
"19-02-2024","2,039.80","2,027.70","2,042.70","2,023.90","202.43K","0.78%"
"16-02-2024","2,024.10","2,016.10","2,027.20","2,006.60","162.36K","0.46%"
"15-02-2024","2,014.90","2,004.80","2,020.20","2,001.80","204.25K","0.53%"
"14-02-2024","2,004.30","2,006.30","2,008.80","1,996.40","193.61K","-0.14%"
"13-02-2024","2,007.20","2,033.70","2,047.30","2,002.80","217.57K","-1.27%"
"12-02-2024","2,033.00","2,038.20","2,041.80","2,025.40","116.03K","-0.28%"
"09-02-2024","2,038.70","2,049.70","2,051.90","2,034.30","116.03K","-0.45%"
"08-02-2024","2,047.90","2,051.00","2,053.80","2,034.60","137.08K","-0.19%"
"07-02-2024","2,051.70","2,052.60","2,061.30","2,046.40","125.63K","0.01%"
"06-02-2024","2,051.40","2,041.40","2,055.30","2,038.80","126.38K","0.42%"
"05-02-2024","2,042.90","2,057.90","2,059.10","2,030.80","170.43K","-0.53%"
"02-02-2024","2,053.70","2,072.00","2,074.70","2,044.20","219.80K","-0.84%"
"01-02-2024","2,071.10","2,057.90","2,083.20","2,046.40","260.92K","0.18%"
"31-01-2024","2,067.40","2,055.30","2,074.60","2,048.80","238.37K","0.80%"
"30-01-2024","2,050.90","2,051.50","2,068.00","2,047.10","214.59K","0.79%"
"29-01-2024","2,034.90","2,035.80","2,046.50","2,028.20","1.78K","0.41%"
"26-01-2024","2,026.60","2,028.90","2,035.70","2,025.40","0.41K","-0.02%"
"25-01-2024","2,027.10","2,025.40","2,034.00","2,017.00","0.46K","0.08%"
"24-01-2024","2,025.40","2,039.40","2,046.20","2,021.90","0.80K","-0.48%"
"23-01-2024","2,035.20","2,032.80","2,045.40","2,031.50","0.37K","0.18%"
"22-01-2024","2,031.50","2,040.40","2,043.00","2,027.40","0.33K","-0.34%"
"19-01-2024","2,038.50","2,033.70","2,050.10","2,031.80","0.30K","0.36%"
"18-01-2024","2,031.10","2,021.30","2,034.20","2,017.50","0.35K","0.75%"
"17-01-2024","2,015.90","2,040.80","2,041.00","2,014.60","0.18K","-1.17%"
"16-01-2024","2,039.70","2,060.00","2,069.70","2,037.50","0.48K","0.47%"
"15-01-2024","2,030.20","2,053.40","2,062.80","2,027.60","285.25K","-1.50%"
"12-01-2024","2,061.10","2,045.00","2,075.80","2,044.20","0.56K","1.59%"
"11-01-2024","2,028.90","2,039.40","2,060.10","2,027.40","0.36K","-0.42%"
"10-01-2024","2,037.50","2,046.20","2,052.00","2,036.40","0.13K","-0.25%"
"09-01-2024","2,042.70","2,044.60","2,054.90","2,041.90","0.18K","-0.02%"
"08-01-2024","2,043.20","2,061.50","2,061.50","2,035.10","0.21K","-0.80%"
"05-01-2024","2,059.70","2,063.60","2,079.00","2,041.70","0.29K","0.00%"
"04-01-2024","2,059.60","2,060.00","2,066.30","2,058.60","0.06K","0.35%"
"03-01-2024","2,052.50","2,082.70","2,082.70","2,049.20","0.08K","-1.46%"
"02-01-2024","2,083.00","2,084.30","2,094.70","2,075.40","0.07K","0.08%"
"29-12-2023","2,081.40","2,087.20","2,087.20","2,080.80","0.06K","-0.56%"
"28-12-2023","2,093.10","2,109.10","2,118.00","2,094.60","8.11K","0.00%"
"27-12-2023","2,093.10","2,079.30","2,095.80","2,072.80","128.18K","1.13%"
"26-12-2023","2,069.80","2,066.00","2,080.50","2,065.10","79.57K","0.03%"
"22-12-2023","2,069.10","2,061.20","2,083.00","2,058.20","170.15K","0.87%"
"21-12-2023","2,051.30","2,044.40","2,058.00","2,043.30","119.95K","0.18%"
"20-12-2023","2,047.70","2,053.80","2,056.90","2,040.60","122.57K","-0.21%"
"19-12-2023","2,052.10","2,041.10","2,061.00","2,034.80","134.78K","0.57%"
"18-12-2023","2,040.50","2,033.30","2,048.00","2,029.50","141.41K","0.24%"
"15-12-2023","2,035.70","2,051.30","2,059.60","2,029.20","172.15K","-0.45%"
"14-12-2023","2,044.90","2,043.20","2,062.90","2,039.10","231.10K","2.38%"
"13-12-2023","1,997.30","1,995.10","2,043.30","1,987.90","192.68K","0.21%"
"12-12-2023","1,993.20","1,997.80","2,012.50","1,992.30","148.53K","-0.03%"
"11-12-2023","1,993.70","2,020.00","2,023.70","1,991.20","160.07K","-1.03%"
"08-12-2023","2,014.50","2,045.70","2,050.40","2,010.60","237.29K","-1.56%"
"07-12-2023","2,046.40","2,043.40","2,057.20","2,036.60","173.98K","-0.07%"
"06-12-2023","2,047.90","2,037.80","2,053.40","2,035.30","154.22K","0.57%"
"05-12-2023","2,036.30","2,049.00","2,059.60","2,027.60","209.55K","-0.29%"
"04-12-2023","2,042.20","2,094.40","2,152.30","2,038.40","378.22K","-2.27%"
"01-12-2023","2,089.70","2,056.50","2,095.70","2,052.60","241.62K","1.58%"
